avgage,sex,createdyear,field
37.45,1,2008,eco
38.1923076923077,1,2009,eco
39.8333333333333,1,2010,eco
40.7837837837838,1,2011,eco
40.4888888888889,1,2012,eco
41.2028985507246,1,2013,eco
40.5964912280702,1,2014,eco
41.1756756756757,1,2015,eco
40.6210526315789,1,2016,eco
42.3643410852713,1,2017,eco
41.9035087719298,1,2018,eco
32.6666666666667,1,2008,edu
45.8,1,2009,edu
46.625,1,2010,edu
43.6666666666667,1,2011,edu
42.5,1,2012,edu
39.7777777777778,1,2013,edu
40.9,1,2014,edu
37.8461538461538,1,2015,edu
41.4,1,2016,edu
42.2631578947368,1,2017,edu
39.3846153846154,1,2018,edu
38,1,2008,med
45.2307692307692,1,2009,med
46.7777777777778,1,2010,med
42.0714285714286,1,2011,med
42.3846153846154,1,2012,med
44.3076923076923,1,2013,med
43.8333333333333,1,2014,med
42.44,1,2015,med
39.5789473684211,1,2016,med
40.5217391304348,1,2017,med
40.3636363636364,1,2018,med
43.6585365853659,1,2008,other
45.625,1,2009,other
44.4102564102564,1,2010,other
42.9523809523809,1,2011,other
40.9787234042553,1,2012,other
43.1489361702128,1,2013,other
43.8730158730159,1,2014,other
41.1111111111111,1,2015,other
42.0125,1,2016,other
41.5454545454545,1,2017,other
41.3586956521739,1,2018,other
36.9,2,2008,eco
37.9,2,2009,eco
32.9,2,2010,eco
33.0909090909091,2,2011,eco
33.7272727272727,2,2012,eco
35.6111111111111,2,2013,eco
35.7368421052632,2,2014,eco
35.625,2,2015,eco
36.7872340425532,2,2016,eco
36.8088235294118,2,2017,eco
36.4262295081967,2,2018,eco
28.3333333333333,2,2008,edu
33.25,2,2009,edu
37.25,2,2010,edu
35.1666666666667,2,2011,edu
34.5714285714286,2,2012,edu
38.8823529411765,2,2013,edu
36.6666666666667,2,2014,edu
35.5909090909091,2,2015,edu
36.6818181818182,2,2016,edu
38.3793103448276,2,2017,edu
37.6530612244898,2,2018,edu
32.3333333333333,2,2008,med
37.1111111111111,2,2009,med
38.3636363636364,2,2010,med
42.4375,2,2011,med
34.9285714285714,2,2012,med
39.5882352941176,2,2013,med
36.6666666666667,2,2014,med
38.5789473684211,2,2015,med
38.7777777777778,2,2016,med
36.7631578947368,2,2017,med
35.5614035087719,2,2018,med
34.7391304347826,2,2008,other
37.7142857142857,2,2009,other
37.3888888888889,2,2010,other
42.64,2,2011,other
36.0222222222222,2,2012,other
38.1025641025641,2,2013,other
36.1190476190476,2,2014,other
38.5806451612903,2,2015,other
37.6037735849057,2,2016,other
37.1379310344828,2,2017,other
37.3783783783784,2,2018,other