article,authorid,age,field,sex
1,2015,5,eco,1
1,2015,5,other,1
1,2018,3,edu,2
1,2019,4,edu,1
1,2020,7,edu,2
1,2021,5,edu,1
1,2022,3,edu,2
4,2024,6,other,2
5,2026,3,other,1
1,2042,3,other,2
1,2044,4,other,2
1,2046,5,eco,1
1,2047,3,eco,2
2,2058,3,other,2
1,2059,4,other,1
1,2078,2,eco,1
1,2078,2,other,1
1,2078,3,other,1
1,2083,6,eco,1
1,2083,6,other,1
2,2086,2,other,1
1,2086,3,other,1
1,2086,4,other,1
1,2092,2,other,1
1,2095,7,med,1
1,2098,6,med,2
1,2107,6,eco,1
1,2107,6,other,1
1,2119,6,eco,1
1,2120,5,med,2
1,2120,5,other,2
1,2122,2,other,2
1,2129,8,other,1
1,2130,2,eco,2
1,2132,2,eco,1
1,2133,2,eco,1
1,2134,3,eco,1
1,2138,7,other,1
1,2140,5,eco,1
1,2140,5,other,1
1,2142,3,eco,1
1,2161,2,other,2
1,2161,3,other,2
3,2184,4,eco,1
20,2184,4,med,1
8,2184,5,eco,1
14,2184,5,med,1
8,2184,6,eco,1
25,2184,6,med,1
4,2184,6,other,1
2,2186,4,eco,2
7,2186,4,med,2
2,2186,5,eco,2
3,2186,5,med,2
2,2186,6,eco,2
11,2186,6,med,2
3,2186,6,other,2
1,2190,2,other,2
2,2215,6,med,2
2,2216,4,med,1
1,2224,5,eco,1
1,2224,5,med,1
2,2252,4,eco,1
2,2252,5,eco,1
1,2254,7,eco,2
1,2269,3,other,2
1,2271,3,eco,2
1,2271,3,other,2
1,2271,4,eco,2
1,2277,2,med,1
1,2277,4,eco,1
3,2277,4,med,1
1,2277,4,other,1
1,2296,9,other,1
2,2297,9,other,1
1,2299,9,other,1
1,2301,5,eco,1
1,2301,5,other,1
1,2303,4,other,2
2,2306,4,other,2
1,2308,6,other,1
1,2311,4,med,2
2,2311,4,other,2
1,2324,6,med,2
1,2372,3,eco,2
4,2375,3,med,2
5,2375,3,other,2
1,2377,2,med,2
1,2377,2,other,2
1,2409,4,edu,2
1,2412,5,other,2
1,2440,3,med,1
1,2444,5,other,2
1,2445,5,other,2
1,2446,4,other,2
1,2447,5,other,1
1,2450,5,other,1
1,2451,5,other,1
2,2461,9,other,1
2,2465,5,other,1
1,2466,5,other,1
2,2477,8,other,1
1,2498,5,eco,1
1,2499,4,eco,2
2,2516,4,eco,1
1,2521,3,eco,1
1,2525,5,eco,2
1,2528,6,eco,1
1,2531,3,eco,2
1,2531,4,eco,2
1,2533,2,eco,2
1,2559,3,other,2
1,2564,2,eco,1
2,2564,2,other,1
1,2564,3,other,1
1,2575,3,eco,2
1,2583,5,eco,1
3,2630,5,other,1
1,2664,6,other,1
1,2664,7,other,1
1,2665,3,other,2
1,2666,4,other,1
2,2666,5,other,1
1,2667,5,other,1
1,2667,6,other,1
1,2667,7,other,1
1,2668,2,other,2
1,2670,9,other,1
2,2674,4,eco,2
1,2674,4,edu,2
1,2674,5,eco,2
1,2674,5,edu,2
2,2681,5,edu,2
1,2682,9,edu,2
3,2685,6,other,2
1,2686,8,other,2
1,2688,3,other,1
1,2692,4,edu,2
1,2692,4,other,2
2,2693,4,edu,2
2,2694,3,other,2
1,2700,4,eco,2
1,2700,4,other,2
1,2701,5,med,1
1,2701,5,other,1
1,2703,2,med,2
1,2703,2,other,2
4,2708,3,other,1
10,2708,4,other,1
1,2708,5,other,1
4,2711,1,eco,2
1,2711,1,edu,2
1,2711,1,med,2
2,2711,1,other,2
2,2711,2,eco,2
1,2711,2,other,2
2,2712,2,edu,2
1,2714,2,other,1
7,2714,3,eco,1
2,2714,3,edu,1
15,2714,3,other,1
2,2714,4,eco,1
1,2714,4,edu,1
1,2714,4,other,1
1,2715,5,eco,2
4,2715,6,eco,2
1,2715,6,edu,2
1,2715,6,other,2
3,2716,6,eco,1
1,2716,6,other,1
1,2716,7,eco,1
1,2716,7,edu,1
13,2717,3,eco,1
5,2717,3,edu,1
5,2717,3,other,1
1,2718,3,eco,2
1,2718,3,edu,2
1,2719,2,eco,2
2,2719,2,edu,2
1,3710,6,edu,1
1,3713,8,eco,1
2,3714,4,eco,1
1,3714,4,edu,1
1,3714,4,other,1
1,3716,3,other,1
1,3717,5,other,1
1,3718,4,other,2
1,4714,4,other,2
2,4719,4,edu,2
1,4721,2,eco,2
1,4723,3,eco,2
3,4723,3,other,2
1,4723,4,eco,2
1,4723,4,other,2
1,4723,5,eco,2
1,4723,5,other,2
2,4724,5,other,1
1,4727,2,eco,1
1,5715,4,other,2
1,5716,2,other,2
1,5716,3,edu,2
1,5716,3,other,2
2,5718,3,other,2
2,5718,4,other,2
1,5719,5,eco,1
1,5723,2,eco,2
2,5725,3,other,2
2,5729,1,eco,2
1,5730,4,eco,1
2,5730,5,eco,1
1,5731,5,eco,2
1,5732,2,eco,2
1,5738,3,eco,1
2,5738,3,other,1
1,5746,5,other,2
1,5762,6,other,1
1,5763,1,med,2
1,5764,5,eco,1
1,5764,5,other,1
4,5765,6,other,1
1,5766,4,other,2
4,5767,5,other,1
2,5781,5,other,1
2,5782,3,eco,1
1,5782,3,other,1
1,5784,9,other,1
2,5790,5,eco,1
1,5790,5,other,1
1,5793,8,eco,1
1,5793,8,other,1
1,5795,4,eco,2
1,5797,4,eco,2
1,5797,4,edu,2
1,5798,8,eco,1
1,5798,8,edu,1
1,5799,5,eco,1
1,5799,5,edu,1
1,5800,5,eco,1
1,5800,5,med,1
1,5800,5,other,1
1,5801,7,eco,1
1,5801,7,edu,1
1,5803,8,eco,1
1,5803,8,other,1
2,5804,5,edu,2
1,5807,6,eco,2
5,5807,6,other,2
2,5807,7,eco,2
2,5807,7,other,2
1,5809,3,eco,1
1,5809,3,other,1
2,5809,4,eco,1
3,5809,4,other,1
2,5812,5,eco,1
1,5812,5,other,1
1,5818,2,eco,2
2,5819,8,eco,1
3,5821,4,other,1
2,5821,5,other,1
1,5822,3,other,1
2,5828,9,eco,1
1,5829,2,eco,2
1,5831,3,other,2
1,5833,4,other,2
1,5834,3,other,1
1,5841,5,other,1
1,5844,6,eco,1
1,5852,3,eco,1
1,5852,3,other,1
1,5853,4,eco,1
1,5853,4,other,1
1,5854,3,eco,2
1,5855,4,med,2
1,5856,8,med,1
1,5859,4,eco,1
3,5859,4,other,1
1,5859,5,eco,1
1,5859,5,other,1
4,5860,4,eco,1
1,5860,4,other,1
4,5860,5,eco,1
1,5860,5,med,1
2,5860,5,other,1
1,5860,6,eco,1
1,5860,6,med,1
1,5863,9,other,1
1,5864,3,eco,2
1,5864,3,other,2
1,5866,4,eco,1
1,5867,4,eco,2
1,5869,4,eco,2
1,5870,8,eco,2
1,5873,6,other,1
2,5876,3,edu,2
1,5877,3,edu,2
1,5878,3,edu,1
1,5878,4,edu,1
1,5879,5,edu,2
5,5879,6,edu,2
2,5882,4,eco,2
3,5882,4,edu,2
2,5885,7,edu,2
1,5890,6,eco,1
1,5892,4,other,2
1,5893,5,other,2
1,5894,2,other,1
1,5896,3,other,1
1,5900,6,edu,2
1,5901,6,edu,2
1,5902,6,edu,2
1,5914,4,edu,2
1,5914,4,other,2
1,5917,3,edu,2
1,5919,3,other,2
1,5921,4,eco,1
4,5921,4,other,1
1,5938,8,other,2
2,5939,3,other,2
1,5939,4,other,2
2,5943,3,other,1
1,5951,3,eco,1
1,5951,4,eco,1
1,5951,4,other,1
1,5952,5,med,2
2,5952,6,med,2
1,5953,9,med,1
7,5961,2,eco,1
21,5961,2,med,1
2,5961,2,other,1
6,5961,3,eco,1
77,5961,3,med,1
6,5961,3,other,1
4,5962,9,med,1
1,5963,9,med,1
4,5964,2,med,2
1,5965,3,med,1
2,5966,2,eco,1
12,5966,2,med,1
2,5966,3,eco,1
39,5966,3,med,1
3,5966,3,other,1
2,5967,9,eco,2
17,5967,9,med,2
1,5967,9,other,2
5,5968,4,med,1
1,5968,4,other,1
2,5969,5,med,1
2,5970,2,eco,1
2,5970,2,med,1
4,5970,3,med,1
13,5971,1,med,1
1,5971,1,other,1
3,5974,6,eco,2
15,5974,6,med,2
1,5974,6,other,2
14,5974,7,med,2
1,5974,7,other,2
6,5975,9,med,2
3,5980,3,med,1
1,5985,4,edu,1
2,5991,4,other,1
1,5994,4,eco,2
2,5994,4,other,2
1,5997,5,eco,2
1,5998,1,eco,2
2,5999,3,other,2
2,5999,4,other,2
2,5999,5,other,2
1,6000,5,eco,1
1,6000,5,other,1
1,6000,6,eco,1
1,6000,6,other,1
3,6001,4,eco,1
7,6001,4,other,1
4,6001,5,eco,1
4,6001,5,other,1
1,6001,6,eco,1
1,6001,6,other,1
7,6003,4,eco,1
2,6003,4,other,1
13,6003,5,eco,1
27,6003,5,other,1
3,6004,2,eco,2
2,6005,6,edu,1
1,6006,5,edu,1
1,6006,5,other,1
3,6012,2,other,1
3,6012,3,eco,1
6,6012,3,other,1
1,6015,3,eco,2
1,6015,3,other,2
1,6017,3,other,1
1,6021,4,eco,2
2,6021,4,other,2
2,6028,4,eco,1
2,6028,5,eco,1
1,6028,5,edu,1
2,6030,4,eco,1
1,6033,4,eco,1
1,6034,3,eco,2
5,6035,5,eco,1
2,6035,6,eco,1
3,6036,3,eco,1
3,6036,3,other,1
4,6039,9,eco,1
1,6043,5,med,2
2,6043,5,other,2
1,6045,4,med,1
1,6045,4,other,1
1,6047,5,med,2
1,6047,5,other,2
1,6048,4,med,2
1,6048,4,other,2
1,6049,2,eco,1
1,6051,2,other,2
1,6054,3,eco,1
1,6054,3,other,1
1,6055,5,eco,2
1,6056,4,eco,2
1,6056,4,other,2
1,6058,5,eco,1
1,6059,4,eco,1
1,6060,8,other,2
1,6061,6,other,2
1,6062,3,other,1
1,6062,4,other,1
1,6068,7,eco,1
1,6070,2,other,1
1,6082,8,other,1
1,6085,3,edu,2
2,6085,4,edu,2
1,6089,2,eco,2
1,6091,3,eco,1
1,6092,4,eco,2
2,6092,5,eco,2
1,6094,3,eco,1
3,6094,4,eco,1
7,6097,2,other,2
1,6097,3,other,2
1,6100,2,eco,2
1,6100,2,edu,2
2,6100,3,eco,2
5,6100,4,eco,2
2,6100,4,edu,2
5,6100,4,other,2
7,6105,3,med,2
1,6105,3,other,2
7,6106,3,med,2
1,6106,3,other,2
1,6109,2,eco,2
18,6109,2,med,2
2,6109,2,other,2
4,6110,1,med,2
1,6110,1,other,2
5,6110,2,med,2
2,6111,1,med,2
1,6111,1,other,2
2,6117,3,med,2
1,6118,3,eco,2
1,6118,3,med,2
2,6120,2,eco,1
25,6120,2,med,1
2,6120,2,other,1
1,6122,6,other,2
1,6123,4,other,2
8,6124,1,med,2
1,6124,1,other,2
1,6126,5,other,2
1,6130,7,other,1
2,6133,5,other,1
2,6135,3,other,2
2,6135,4,other,2
3,6136,2,other,1
6,6136,3,other,1
5,6136,4,other,1
1,6137,3,other,2
1,6147,3,eco,2
2,6149,5,other,1
1,6150,5,eco,1
1,6153,3,other,1
1,6153,4,eco,1
3,6153,4,other,1
1,6156,3,other,1
4,6157,3,other,2
1,6159,4,eco,2
1,6160,2,med,2
1,6161,6,med,2
1,6163,7,med,2
1,6164,2,eco,2
2,6167,8,other,1
2,6170,3,other,1
3,6173,4,other,1
3,6175,7,other,1
3,6175,8,other,1
1,6177,2,other,1
2,6178,4,eco,1
2,6178,4,other,1
2,6182,5,eco,1
1,6182,5,other,1
1,6182,6,eco,1
2,6182,6,other,1
1,6185,3,edu,2
3,6185,4,edu,2
1,6185,4,other,2
1,6197,3,eco,2
3,6198,8,eco,1
1,6201,4,eco,2
2,6202,2,eco,2
3,6202,3,eco,2
3,6211,2,eco,2
5,6211,2,med,2
4,6212,6,eco,1
14,6212,6,med,1
2,6212,6,other,1
1,6212,7,med,1
2,6213,6,eco,1
4,6213,6,med,1
1,6216,2,edu,1
1,6217,5,edu,1
2,6217,6,edu,1
1,6224,2,med,2
2,6224,3,eco,2
4,6224,3,med,2
1,6225,7,eco,1
2,6225,7,med,1
1,6225,8,eco,1
8,6225,8,med,1
2,6226,6,eco,1
18,6226,6,med,1
1,6226,6,other,1
1,6239,5,eco,1
1,6239,5,edu,1
1,6240,3,med,2
1,6244,4,eco,1
1,6246,2,eco,2
1,6247,5,eco,1
1,6253,9,other,1
1,6254,8,other,1
1,6255,2,other,2
1,6255,3,other,2
2,6257,4,med,2
1,6258,5,med,2
1,6259,3,med,2
1,6259,4,med,2
5,6259,5,med,2
3,6260,3,med,1
1,6261,5,med,1
1,6261,6,eco,1
2,6261,6,med,1
1,6263,2,med,2
1,6264,2,med,2
1,6267,7,eco,2
1,6267,7,edu,2
1,6270,5,eco,1
1,6270,5,other,1
1,6274,1,med,1
1,6274,1,other,1
1,6279,5,med,1
1,6279,5,other,1
1,6280,3,med,2
1,6280,3,other,2
1,6282,5,eco,1
1,6282,5,med,1
1,6283,3,med,1
1,6283,3,other,1
1,6284,2,med,2
1,6284,2,other,2
1,6285,3,med,1
1,6285,3,other,1
1,6286,2,med,2
1,6286,2,other,2
1,6287,2,med,1
1,6287,2,other,1
3,6288,4,med,2
2,6288,4,other,2
1,6288,5,med,2
1,6289,4,med,2
1,6290,7,eco,1
1,6290,7,other,1
1,6291,5,eco,2
1,6291,5,med,2
2,6292,6,med,1
4,6296,2,med,2
2,6296,2,other,2
5,6296,3,med,2
1,6298,2,eco,1
1,6298,2,med,1
1,6299,1,eco,2
1,6299,1,med,2
2,6300,2,med,1
1,6301,2,med,2
2,6303,5,med,2
2,6303,5,other,2
4,6303,6,eco,2
16,6303,6,med,2
1,6304,5,med,1
1,6304,5,other,1
1,6305,2,med,1
1,6305,2,other,1
1,6307,5,med,1
1,6307,5,other,1
1,6308,2,med,1
1,6308,2,other,1
1,6310,6,eco,1
1,6310,6,med,1
1,6311,5,med,1
1,6315,5,med,1
1,6315,5,other,1
1,6316,8,eco,1
2,6316,8,med,1
1,6316,8,other,1
2,6316,9,med,1
1,6323,3,med,2
1,6325,8,edu,1
1,6329,4,med,2
1,6331,2,med,1
1,6332,1,med,2
1,6332,2,med,2
1,6334,2,med,2
1,6336,2,med,2
1,6337,4,med,2
2,6338,2,med,2
1,6339,5,edu,2
1,6347,2,eco,2
4,6347,2,med,2
1,6347,3,med,2
1,6348,2,med,2
1,6349,2,med,2
1,6350,6,med,1
2,6351,2,med,1
1,6352,7,med,1
1,6357,2,eco,1
1,6360,4,eco,1
2,6360,5,eco,1
1,6360,5,other,1
1,6363,5,other,2
1,6365,2,other,2
1,6369,5,other,1
1,6370,5,eco,1
1,6370,5,other,1
1,6371,4,med,1
1,6371,4,other,1
2,6372,4,med,1
5,6373,6,med,1
1,6373,6,other,1
6,6374,5,med,1
1,6374,5,other,1
3,6375,4,med,1
1,6375,4,other,1
1,6379,3,other,2
1,6387,3,med,1
1,6387,4,med,1
1,6390,1,med,1
3,6392,7,med,2
1,6393,3,med,1
1,6394,3,med,1
1,6425,3,eco,2
1,6425,3,other,2
1,6426,4,eco,1
1,6426,4,med,1
1,6429,9,eco,1
2,6429,9,med,1
1,6429,9,other,1
1,6430,7,med,1
1,6434,3,med,2
1,6436,2,med,2
1,6437,4,med,2
1,6438,4,med,1
1,6439,3,med,1
1,6444,3,edu,2
2,6448,3,eco,2
3,6448,4,eco,2
1,6448,4,other,2
1,6453,4,other,2
1,6457,5,eco,1
1,6462,8,med,1
1,6464,3,other,1
1,6467,6,eco,1
1,6467,6,other,1
1,6468,3,eco,2
1,6468,3,other,2
1,6469,5,edu,2
1,6469,6,other,2
1,6471,3,eco,2
2,6472,3,eco,2
6,6472,4,eco,2
1,6472,5,eco,2
1,6474,8,med,2
1,6475,4,med,2
1,6475,5,other,2
1,6476,5,med,2
3,6482,4,edu,2
2,6482,4,other,2
3,6487,4,eco,2
1,6489,3,edu,1
1,6489,4,eco,1
4,6489,5,eco,1
1,6489,5,other,1
1,6491,3,eco,2
1,6492,3,eco,2
1,6494,5,eco,1
2,6494,6,eco,1
1,6494,6,edu,1
1,6495,9,eco,1
1,6497,6,other,1
1,6498,1,med,1
1,6499,5,eco,1
1,6500,3,eco,2
1,6503,2,eco,2
1,6503,3,eco,2
2,6504,4,eco,1
1,6506,6,eco,1
1,6507,5,eco,1
1,6508,8,eco,1
1,6512,3,eco,2
1,6514,4,eco,2
1,6515,4,eco,1
5,6516,5,eco,1
1,6516,6,eco,1
1,6516,6,edu,1
1,6518,6,eco,2
1,6525,1,eco,1
1,6526,3,eco,1
1,6532,4,eco,1
1,6536,4,eco,1
1,6537,7,eco,2
1,6547,7,eco,2
1,6548,4,eco,2
1,6548,4,other,2
2,6548,5,eco,2
2,6563,3,eco,1
1,6563,3,other,1
1,6568,2,eco,2
1,6569,5,eco,2
1,6570,3,eco,1
3,6576,5,edu,1
1,6579,4,edu,2
1,6580,5,edu,2
1,6581,7,eco,1
1,6582,3,eco,1
1,6583,3,eco,2
2,6584,5,eco,2
1,6587,2,eco,2
9,6588,6,med,1
2,6602,2,eco,2
1,6603,7,eco,2
1,6604,5,eco,2
1,6607,3,med,1
1,6611,6,eco,2
1,6612,3,eco,1
1,6613,3,eco,2
1,6613,3,med,2
1,6613,5,med,2
1,6615,4,med,1
4,6615,6,eco,1
9,6615,6,med,1
2,6615,6,other,1
1,6618,4,eco,1
2,6618,4,med,1
1,6624,3,eco,1
1,6624,3,med,1
1,6624,4,eco,1
2,6624,4,med,1
2,6624,5,med,1
1,6627,6,med,2
1,6628,5,med,2
2,6631,6,med,1
1,6631,6,other,1
1,6633,3,eco,2
1,6633,3,med,2
1,6635,3,med,2
1,6637,4,med,1
3,6638,8,med,1
1,6640,7,med,2
2,6642,7,eco,1
1,6643,3,eco,1
1,6644,4,eco,1
1,6645,2,eco,1
1,6645,3,eco,1
2,6646,2,eco,2
6,6646,2,med,2
1,6646,2,other,2
1,6647,1,eco,2
4,6647,1,med,2
2,6647,1,other,2
1,6647,2,eco,2
2,6647,2,med,2
1,6648,1,med,2
1,6648,2,eco,2
1,6648,2,med,2
2,6651,4,edu,2
1,6651,4,other,2
1,6655,2,other,2
1,6658,4,eco,1
1,6658,4,other,1
1,6666,6,eco,2
1,6668,4,eco,1
1,6671,4,eco,2
2,6683,2,eco,2
1,6683,3,eco,2
1,6684,3,eco,1
1,6685,2,eco,1
1,6686,5,eco,2
1,6688,3,eco,2
4,6692,7,med,1
1,6692,7,other,1
1,6693,7,med,2
1,6693,7,other,2
4,6694,6,med,1
1,6694,6,other,1
1,6696,6,med,2
1,6699,3,med,1
1,6701,3,eco,1
1,6702,4,eco,2
1,6712,7,eco,1
1,6715,4,other,2
1,6715,5,med,2
1,6715,5,other,2
1,6717,5,eco,2
1,6717,5,med,2
1,6717,6,med,2
1,6718,6,med,1
1,6720,5,med,2
1,6721,3,med,1
1,6722,4,med,2
1,6724,2,med,2
1,6725,4,med,1
1,6726,3,med,2
1,6727,4,med,2
1,6730,2,eco,1
4,6730,2,med,1
1,6730,2,other,1
1,6730,3,med,1
1,6732,3,eco,1
2,6732,3,med,1
1,6732,3,other,1
1,6735,3,eco,1
1,6740,7,eco,1
1,6741,4,eco,1
2,6742,5,eco,2
1,6742,5,other,2
2,6744,1,med,2
1,6744,1,other,2
1,6744,2,med,2
1,6744,2,other,2
1,6746,8,med,1
1,6746,8,other,1
1,6753,1,eco,2
4,6753,1,med,2
1,6753,1,other,2
1,6755,5,med,2
2,6756,6,eco,1
1,6756,6,other,1
6,6757,7,eco,2
2,6757,7,edu,2
4,6757,7,other,2
2,6758,4,eco,1
1,6758,4,other,1
1,6759,1,eco,2
1,6767,2,other,2
1,6769,9,other,1
1,6773,6,edu,2
1,6774,4,eco,2
1,6774,4,med,2
1,6783,9,eco,1
1,6783,9,med,1
1,6786,9,other,1
2,6788,9,other,1
1,6789,2,other,1
1,6791,3,eco,1
1,6794,6,other,2
1,6796,4,other,2
1,6797,6,other,1
5,6798,6,eco,1
1,6804,4,eco,1
1,6806,9,other,1
1,6807,7,other,1
1,6808,3,other,2
1,6809,4,eco,2
6,6809,4,other,2
1,6809,5,eco,2
7,6809,5,other,2
1,6810,6,med,2
1,6811,3,med,2
1,6812,3,med,2
1,6813,2,med,1
1,6814,3,med,2
1,6817,5,edu,2
1,6821,3,eco,1
2,6826,3,eco,1
1,6841,6,eco,1
1,6841,6,med,1
1,6848,9,eco,1
1,6848,9,med,1
1,6852,5,other,1
1,6858,5,med,1
1,6858,5,other,1
1,6859,5,med,2
1,6859,5,other,2
1,6863,8,other,2
1,6864,3,other,2
1,6866,6,other,1
1,6873,6,other,2
1,6875,2,other,2
1,6877,3,edu,2
3,6878,4,edu,2
2,6878,5,edu,2
1,6879,4,edu,2
1,6887,8,eco,2
1,6887,8,other,2
1,6888,5,eco,1
1,6889,3,eco,1
1,6894,3,eco,2
2,6894,4,eco,2
1,6895,2,eco,1
1,6897,1,eco,2
1,6898,3,eco,1
1,6899,1,eco,1
1,6900,1,eco,2
1,6901,6,eco,2
1,6901,6,other,2
1,6903,7,eco,1
1,6911,2,med,2
1,6911,2,other,2
1,6911,3,med,2
1,6917,3,edu,1
1,6917,3,med,1
1,6929,5,eco,1
3,6931,6,eco,1
1,6934,6,other,1
1,6944,5,other,1
1,6955,9,edu,2
1,6958,4,edu,2
1,6958,4,other,2
1,6968,7,eco,1
1,6969,9,edu,1
1,6972,7,edu,2
1,6977,8,edu,1
2,6980,4,other,2
1,6994,4,eco,2
1,6994,4,other,2
2,7004,4,edu,2
1,7010,4,edu,2
1,7013,5,edu,1
1,7014,5,edu,2
1,7021,5,edu,1
1,7022,3,edu,2
1,7023,4,edu,2
1,7024,6,eco,1
1,7039,5,edu,2
1,7042,9,edu,1
1,7043,7,edu,1
1,7044,4,edu,2
1,7047,4,eco,2
2,7050,4,eco,2
1,7054,8,eco,2
2,7059,2,eco,1
2,7060,1,eco,1
2,7061,1,eco,1
1,7086,6,eco,2
1,7086,6,other,2
1,7089,7,eco,2
1,7089,7,other,2
1,7092,4,edu,1
1,7093,4,edu,2
1,7094,3,edu,2
1,7095,2,edu,2
2,7108,4,eco,2
2,7111,1,edu,2
1,7129,9,other,1
1,7130,6,other,2
1,7149,3,edu,2
1,7149,3,other,2
1,7152,3,edu,1
1,7164,4,eco,1
1,7190,7,other,1
2,7207,4,eco,2
2,7224,3,other,2
2,7228,5,eco,1
2,7228,5,other,1
2,7229,4,eco,2
2,7229,4,other,2
1,7231,3,eco,1