article,age,field
1.22222222222222,1,eco
1.4,1,edu
2.5,1,med
1.375,1,other
1.3375,2,eco
1.35,2,edu
2.07407407407407,2,med
1.40579710144928,2,other
1.64661654135338,3,eco
1.71739130434783,3,edu
2.21666666666667,3,med
1.64968152866242,3,other
1.80473372781065,4,eco
2.17910447761194,4,edu
1.80851063829787,4,med
1.76470588235294,4,other
2.35211267605634,5,eco
1.42,5,edu
1.64285714285714,5,med
1.82222222222222,5,other
2.06410256410256,6,eco
1.5,6,edu
2.71428571428571,6,med
1.6,6,other
1.82926829268293,7,eco
1.23076923076923,7,edu
1.89473684210526,7,med
1.30769230769231,7,other
2.1304347826087,8,eco
1.14285714285714,8,edu
2.6,8,med
1.78048780487805,8,other
2.94117647058824,9,eco
1,9,edu
4.07692307692308,9,med
2.03125,9,other