article,coauthors,field
209,1,eco
381,2,eco
287,3,eco
131,4,eco
49,5,eco
17,6,eco
7,7,eco
4,8,eco
4,9,eco
2,12,eco
1,13,eco
1,16,eco
1,48,eco
1,49,eco
1,51,eco
138,1,edu
138,2,edu
63,3,edu
22,4,edu
8,5,edu
3,6,edu
3,7,edu
1,8,edu
2,11,edu
21,1,med
30,2,med
25,3,med
47,4,med
37,5,med
40,6,med
20,7,med
27,8,med
17,9,med
19,10,med
17,11,med
10,12,med
9,13,med
6,14,med
5,15,med
4,16,med
1,17,med
1,18,med
1,22,med
1,24,med
1,27,med
291,1,other
218,2,other
186,3,other
117,4,other
66,5,other
41,6,other
18,7,other
15,8,other
9,9,other
4,10,other
9,11,other
4,12,other
4,13,other
6,14,other
2,17,other
1,22,other
1,48,other